date,kospi,djia,ktb3,usd,gold
20170530,2343.68,21029.47,1.658,1123.0,45720.0
20170531,2347.38,21008.65,1.661,1124.0,45450.0
20170601,2344.61,21144.18,1.645,1119.0,45610.0
20170602,2371.72,21206.29,1.63,1122.5,45550.0
20170605,2368.62,21184.04,1.623,1119.0,45850.0
20170607,2360.14,21173.69,1.621,1119.5,46530.0
20170608,2363.57,21182.53,1.637,1125.0,46320.0
20170609,2381.69,21271.97,1.632,1124.0,45950.0
20170612,2357.87,21235.67,1.697,1126.0,45860.0
20170613,2374.7,21328.47,1.661,1131.0,45890.0
20170614,2372.64,21374.56,1.681,1126.5,45890.0
20170615,2361.65,21359.9,1.682,1120.0,45640.0
20170616,2361.83,21384.28,1.695,1130.7,45850.0
20170619,2370.9,21528.99,1.683,1132.5,45620.0
20170620,2369.23,21467.14,1.685,1137.2,45510.0
20170621,2357.53,21410.03,1.692,1141.0,45790.0
20170622,2370.37,21397.29,1.701,1142.5,45930.0
20170623,2378.6,21394.76,1.688,1138.5,45900.0
20170626,2388.66,21409.55,1.686,1134.5,45750.0
20170627,2391.95,21310.66,1.681,1134.0,45660.0
20170628,2382.56,21454.61,1.711,1141.0,45930.0
20170629,2395.66,21287.03,1.7,1139.7,45860.0
20170630,2391.79,21349.63,1.698,1147.0,45710.0
20170703,2394.48,21479.27,1.716,1143.5,45620.0
20170704,2380.52,21479.27,1.74,1149.0,45440.0
20170705,2388.35,21478.17,1.745,1152.0,45500.0
20170706,2387.81,21320.04,1.75,1152.0,45650.0
20170707,2379.87,21414.34,1.781,1156.5,45450.0
20170710,2382.1,21408.52,1.756,1153.0,44770.0
20170711,2396.0,21409.07,1.762,1149.0,45000.0
20170712,2391.77,21532.14,1.762,1148.7,45050.0
20170713,2409.49,21553.09,1.745,1137.5,44840.0
20170714,2414.63,21637.74,1.75,1137.2,44570.0
20170717,2425.1,21629.72,1.754,1129.5,44800.0
20170718,2426.04,21574.73,1.746,1129.8,44960.0
20170719,2429.94,21640.75,1.747,1124.0,44910.0
20170720,2441.84,21611.78,1.74,1124.0,45020.0
20170721,2450.06,21580.07,1.721,1121.5,45080.0
20170724,2451.53,21513.17,1.72,1118.5,45100.0
20170725,2439.9,21613.43,1.709,1115.5,45180.0
20170726,2434.51,21711.01,1.729,1121.0,45140.0
20170727,2443.24,21796.55,1.712,1112.0,45290.0
20170728,2400.99,21830.31,1.723,1117.0,45390.0
20170731,2402.71,21891.12,1.724,1124.4,45580.0
20170801,2422.96,21963.92,1.733,1119.4,45650.0
20170802,2427.63,22016.24,1.73,1122.0,45680.0
20170803,2386.85,22026.1,1.737,1123.0,45770.0
20170804,2395.45,22092.81,1.742,1129.0,45840.0
20170807,2398.75,22118.42,1.772,1128.2,45670.0
20170808,2394.73,22085.34,1.805,1126.8,45660.0
20170809,2368.39,22048.7,1.833,1130.0,46150.0
20170810,2359.47,21844.01,1.824,1138.5,46780.0
20170811,2319.71,21858.32,1.804,1145.2,47210.0
20170814,2334.22,21993.71,1.802,1139.5,47040.0
20170816,2348.26,22024.87,1.821,1135.5,46610.0
20170817,2361.67,21750.73,1.801,1135.5,46900.0
20170818,2358.37,21674.51,1.777,1142.0,47120.0
20170821,2355.0,21703.75,1.784,1138.4,47050.0
20170822,2365.33,21899.89,1.803,1138.3,47000.0
20170823,2366.4,21812.09,1.797,1132.0,46800.0
20170824,2375.84,21783.4,1.801,1127.0,46750.0
20170825,2378.51,21813.67,1.755,1128.0,46760.0
20170828,2370.3,21808.4,1.758,1122.0,46740.0
20170829,2364.74,21865.37,1.772,1125.4,47420.0
20170830,2372.29,21892.43,1.752,1124.0,47250.0
20170831,2363.19,21948.1,1.747,1124.5,47210.0
20170901,2357.69,21987.56,1.747,1123.0,47570.0
20170904,2329.65,21987.56,1.782,1129.0,48400.0
20170905,2326.62,21753.31,1.78,1131.0,48460.0
20170906,2319.82,21807.64,1.775,1132.1,48650.0
20170907,2346.19,21784.78,1.782,1130.0,48350.0
20170908,2343.72,21797.79,1.758,1126.5,48880.0
20170911,2359.08,22057.37,1.757,1129.0,48580.0
20170912,2365.47,22118.86,1.753,1129.5,48080.0
20170913,2360.18,22158.18,1.742,1128.3,48270.0
20170914,2377.66,22203.48,1.742,1132.5,48110.0
20170915,2386.07,22268.34,1.739,1136.5,48370.0
20170918,2418.21,22331.35,1.742,1132.5,47850.0
20170919,2416.05,22370.8,1.779,1128.4,47700.0
20170920,2412.2,22412.59,1.775,1130.2,47700.0
20170921,2406.5,22359.23,1.781,1133.0,47400.0
20170922,2388.71,22349.59,1.775,1133.0,47410.0
20170925,2380.4,22296.09,1.786,1133.0,47010.0
20170926,2374.32,22284.32,1.832,1134.7,47890.0
20170927,2372.57,22340.71,1.887,1138.0,47460.0
20170928,2373.14,22381.2,1.888,1144.0,47360.0
20170929,2394.47,22405.09,1.888,1145.3,47400.0
20171010,2433.81,22830.68,1.938,1142.5,47100.0
20171011,2458.16,22872.89,1.929,1134.0,47070.0
20171012,2474.76,22841.01,1.9,1131.9,47210.0
20171013,2473.62,22871.72,1.916,1132.0,47150.0
20171016,2480.05,22956.96,1.927,1126.0,47210.0
20171017,2484.37,22997.44,1.947,1129.6,47070.0
20171018,2482.91,23157.6,1.935,1131.0,46770.0
20171019,2473.06,23163.04,2.006,1132.0,46620.0
20171020,2489.54,23328.63,2.088,1128.5,46780.0
20171023,2490.05,23273.96,2.032,1134.5,46490.0
20171024,2490.49,23441.76,2.057,1130.8,46500.0
20171025,2492.5,23329.46,2.094,1130.0,46290.0
20171026,2480.63,23400.86,2.182,1125.0,46430.0
20171027,2496.63,23434.19,2.164,1128.5,46200.0
20171030,2501.93,23348.74,2.137,1126.0,46110.0
20171031,2523.43,23377.24,2.164,1124.0,46190.0
20171101,2556.47,23435.01,2.14,1118.0,45850.0
20171102,2546.36,23516.26,2.126,1112.5,45950.0
20171103,2557.97,23539.19,2.133,1112.0,45870.0
20171106,2549.41,23548.42,2.152,1116.5,45720.0
20171107,2545.44,23557.23,2.133,1112.5,45810.0
20171108,2552.4,23563.36,2.151,1114.0,45880.0
20171109,2550.57,23461.94,2.147,1113.5,46100.0
20171110,2542.95,23422.21,2.157,1119.0,46270.0
20171113,2530.35,23439.7,2.18,1119.5,46150.0
20171114,2526.64,23409.47,2.211,1119.5,46140.0
20171115,2518.25,23271.28,2.177,1115.0,46010.0
20171116,2534.79,23458.36,2.171,1106.5,45460.0
20171117,2533.99,23358.24,2.174,1097.0,45460.0
20171120,2527.67,23430.33,2.156,1098.0,45800.0
20171121,2530.7,23590.83,2.156,1097.0,45310.0
20171122,2540.51,23526.18,2.17,1091.0,45170.0
20171123,2537.15,23526.18,2.134,1086.0,45230.0
20171124,2544.33,23557.99,2.169,1085.0,45240.0
20171127,2507.81,23580.78,2.153,1085.0,45250.0
20171128,2514.19,23836.71,2.119,1090.5,45390.0
20171129,2512.9,23940.68,2.112,1084.0,45220.0
20171130,2476.37,24272.35,2.075,1081.5,45060.0
20171201,2475.41,24231.59,2.081,1088.0,44780.0
20171204,2501.67,24290.05,2.083,1086.0,44800.0
20171205,2510.12,24180.64,2.112,1085.8,44630.0
20171206,2474.37,24140.91,2.084,1087.5,44730.0
20171207,2461.98,24211.48,2.094,1095.0,44450.0
20171208,2464.0,24329.16,2.094,1094.1,44140.0
20171211,2471.49,24386.03,2.087,1091.6,44110.0
20171212,2461.0,24504.8,2.077,1088.7,44200.0
20171213,2480.55,24585.43,2.078,1093.0,43990.0
